filename	caption	second positive	negative_caption
000000487583.jpg	A table with a white cup and a cookie next to a toilet.	A toilet has a table with a cookie and a white cup next to it.	A table with a white cup and a cookie far from a toilet.
000000456496.jpg	A person sitting on ledge with three pigeons, with gate railing, trees, and base of the Eiffel Tower behind.	Three pigeons accompany the person sitting on the ledge along with gate railing and trees with the base of the eiffel tower behind.	A person sitting on ledge with three pigeons, with gate railing, trees, and base of the Eiffel Tower next to her.
000000336587.jpg	A stop sign sitting on a pole that is somewhat broken	A stop sign is placed on a partially broken pole.	A stop sign sitting on a pole that is fixed.
000000087875.jpg	A fire hydrant near a tall bush in a field	A tall bush near a fire hydrant in a field.	A fire hydrant distant from a tall bush in a field.
000000227765.jpg	A wooden spoon in a soup pot on the stove.	The soup pot containing the wooden spoon is positioned on the stove.	A wooden spoon above a soup pot on the stove.
000000068387.jpg	A professional baseball holding a bat at home base.	A baseball professional is situated at the home base with a bat.	A professional baseball dropping a bat at home base.
000000090284.jpg	A person playing in a tennis match in a tennis court.	A person is in the tennis court, playing in a tennis match.	A person is observing a tennis match in a tennis court.
000000144798.jpg	A close up of a toilet and a bathtub with toys	A close-up of a bathtub with toys and a toilet are in view.	A far away shot of a toilet and a bathtub with toys.
000000212166.jpg	A small child eating a plate of food with hands.	A small child is using hands to eat a plate of food.	A small child eating a plate of food using utensils.
000000190756.jpg	A person flying through the air while riding a bike.	The person riding the bike is flying through the air.	A person is landing on the ground after riding a bike through the air.
000000172946.jpg	A group of people standing around holding Nintendo Wii controllers.	A group of people with Nintendo Wii controllers are standing around.	A group of people sitting in front of a TV, holding Nintendo Wii controllers.
000000194875.jpg	A street scene with motorcycles parked along the side of the road with people dining outside.	A scene of a street with people dining outside and parked  motorcycles along the side of the road.	A street scene with motorcycles parked along the side of the road with people walking past.
000000378284.jpg	A person sits across from a pizza ready to be served.	The pizza is ready to be served, and a person is seated across from the pizza.	A person is standing across from a pizza ready to be served.
000000290248.jpg	Several people are grouped together in a public area.	Several individuals congregate in a public space.	Several people are moving around in a public area.
000000018575.jpg	A burger sitting on a table, with another next to it.	Two burger sits next to one another on the table.	A burger under a table, with another next to it.
000000350002.jpg	A person poses in a dress next to a hair dryer.	The person while being beside the the hair dryer strikes a pose in a dress.	A person poses in a dress far from a hair dryer.
000000099242.jpg	A person skiing down a snowy hill alone.	A person is skiing alone down a hill covered with snow.	A person walking up a snowy hill alone.
000000351823.jpg	A person holds a tennis racket on a tennis court.	A person is on a tennis court holding a tennis racket.	A person holds a tennis racket off a tennis court.
000000473237.jpg	A young child with a green jacket eating a piece of pepperoni pizza.	A small child eats a pepperoni pizza piece while wearing a green jacket.	A young child without a green jacket eating a piece of pepperoni pizza.
000000384468.jpg	A group of people riding a large gray elephant.	A group of people ride a elephant that is large and gray.	A group of people are next to a large gray elephant.
000000518770.jpg	Some kids standing up playing wii with each other	Some kids are standing up and playing Wii together.	Some kids sitting down playing wii with each other.
000000189752.jpg	A plate of half eaten pizza, and salad.	Half eaten pizza and salad are arranged on a plate.	A plate of fresh pizza and salad.
000000360097.jpg	Luggage is arranged in groups  on a concrete  platform.	The concrete platform accommodates the luggage in organized groups.	Luggage is arranged in groups beside a concrete platform.
000000067310.jpg	A person on a skateboard in the air coming on to a ramp	The skateboarding person is coming down on to the ramp from the air.	A person on a skateboard touching the ground coming on to a ramp.
000000158548.jpg	A sheep is on a field of grass with two people walking around it.	A couple of individuals are walking around a field of grass where a sheep is located.	A sheep is on a field of grass with two people chasing it.
000000425702.jpg	A surfer walking on a beach holding a surfboard.	A surfer holding a surfboard is walking along a beach.	A surfer lying on a beach with a surfboard next to them.
000000314182.jpg	Four bowls of different eatables are kept on the slab.	The slab has four bowls of different eatables.	Four bowls of different eatables are kept next to the slab.
000000247917.jpg	A little league baseball team in orange uniforms posing for a group picture.	A little league baseball team wearing orange uniforms standing together for a group photo.	A little league baseball team in orange uniforms running towards the camera.
000000016228.jpg	There is a white horse pulling a trolley behind it.	The trolley is being pulled by a white horse in front of it.	There is a white horse pulling a trolley in front of it.
000000366611.jpg	A dog laying on a soccer ball on a field.	On a field, a dog is laying on a soccer ball.	A dog is chasing a soccer ball on a field.
000000374369.jpg	A person in a black snow suit on a pair of skis in the snow.	A person on a pair of skis in the snow is wearing a black snow suit.	A person in a black snow suit near a pair of skis in the snow.
000000300659.jpg	Seven jets fly in formation leaving trails of smoke behind them.	 Leaving trails of smoke behind them, seven jets fly in formation.	Seven jets are breaking formation and leaving trails of smoke behind them.
000000399462.jpg	A child with a kite running in the grass.	The kite is with the child running in the grass.	A child without a kite running in the grass.
000000177934.jpg	A group of people standing near the motorcycles on the street.	A bunch of people on the street stand close to the motorcycles.	A group of people riding motorcycles on the street.
000000289393.jpg	Some toy animals on the ground near a picture	The toy animals are on the ground close to the picture.	Some toy animals hanging on the wall near a picture.
000000066523.jpg	A bed with white and gray bedding and netting overhead.	The bed is furnished with a combination of white and gray bedding, accompanied by overhead netting.	A bed without white and gray bedding and netting overhead.
000000025560.jpg	A cat standing in front of a tv on a tv stand.	The cat stands in front of a tv which is positioned on a tv stand.	A cat standing in front of a tv next to a tv stand.
000000118921.jpg	A person skiing on a path by some trees.	A person is skiing on a trail surrounded by trees.	A person skiing off a path by some trees.
000000101068.jpg	A little kid is swinging at a water balloon.	The child is swinging at a water balloon.	A little kid is throwing a water balloon.
000000520264.jpg	There are two people posing in a kitchen	In the kitchen, a couple of individuals are posing.	There are two people cooking in a kitchen.
000000521405.jpg	A tooth brush sits next to a toy.	Next to the toy, the toothbrush sits.	A tooth brush sits across from a toy.
000000339870.jpg	A tall church tower sitting on the side of a road.	The tall church tower is situated beside the road.	A tall church tower sitting across from a road.
000000166287.jpg	A group of cows standing on top of a shore near water.	A herd of cows stands on a coastline close to the water.	A group of cows lying down near the water's edge.
000000490125.jpg	A group of birds in a bunch of puddles.	A flock of birds in a group of puddles.	A group of birds are flying above a bunch of puddles.
000000235784.jpg	A kid stands in the snow on skis	A child wearing skis is standing in the snow.	A kid stands in the snow next to skis.
000000517687.jpg	Two cell phones of differing quality are set side by side on a table.	Two cell phones of varying quality are placed on a table next to each other.	Two cell phones of differing quality are set under each other on a table.
000000520264.jpg	A person, their arm across the person next to them, stands in a blandly colored kitchen area,  in front of a black-rimmed  window, next to a counter with a microwave, plates, with and without food, and wine bottles.	The person stands in the kitchen area, adjacent to a window with a black frame, next to a counter holding various dishware including plates with and without food, and wine bottles.	A person, their arm across the person next to them, stands in a blandly colored kitchen area, in front of a black-rimmed window, far from a counter with a microwave, plates, with and without food, and wine bottles.
000000480985.jpg	The shiny motorcycle has been put on display.	The gleaming motorcycle has been showcased.	The shiny motorcycle has been taken off display.
000000099054.jpg	A large jet airplane sitting on a tarmac at an airport.	A jet airplane that is huge is positioned on the tarmac at an airport.	A large jet airplane flying over an airport.
000000090108.jpg	A white bathroom sink sitting under a bathroom window.	The bathroom window is positioned above the white bathroom sink.	A white bathroom sink sitting above a bathroom window.
000000321214.jpg	A toddler is getting messy while eating cake.	A young child is making a mess while having cake.	A toddler is getting messy while decorating cake.
000000056344.jpg	A desk with a keyboard, mouse and two monitors on it	A couple of monitors, a keyboard and a mouse are placed on a desk..	A desk with a keyboard, mouse and two monitors in it.
000000213086.jpg	A person is bent over opening an oven.	The oven is being opened by a person with their back bent.	A person is standing straight while opening an oven.
000000089648.jpg	Everyone in the group is using electronic devices.	All members of the group are using electronic devices.	Everyone in the group is putting away their electronic devices.
000000059044.jpg	A group of people are standing around holding video game controllers.	A group of people holding video game controllers are standing around.	A group of people are sitting at a table holding video game controllers.
000000351810.jpg	A person sitting at a table in front of a pile of luggage	A stack of luggage is placed behind a person sitting at a table	A person sitting at a table behind a pile of luggage.
000000370711.jpg	A person taking a picture of items for sale through the front window of a store.	A person is photographing items for sale through a store front window.	A person is putting down items for sale in front of a store window.
000000239274.jpg	A group of people mingle on a yacht beside the coast.	Near the coastline, a group of people socialize on a yacht.	A group of people mingle on a yacht far from the coast.
000000281414.jpg	A person sits on a ledge and looks at their phone.	The person is situated on the ledge and gazing at the phone.	A person sits on a ledge and ignores their phone.
000000056344.jpg	A couple of monitors are on a desk	The desk houses two monitors.	A couple of monitors are next to a desk.
000000009483.jpg	A person in a suit stands near a table with computer equipment on it.	A person wearing a suit stands close to a table with computer equipment on it.	A person in a suit walked away from a table with computer equipment on it.
000000318080.jpg	Two different bears fight with each other behind a log	Behind a log, two different bears fight with each other.	Two different bears fight with each other in front of a log.
000000487583.jpg	A corner of a restroom with a cookie and coffee.	Coffee and a cookie are at one of the corner of a restroom.	A corner outside of a restroom with a cookie and coffee.
000000319935.jpg	A living room with white furniture and a small wooden table.	The white furniture is located in the living room along with a small wooden table.	A living room without white furniture and a small wooden table.
000000523811.jpg	A bird sitting on a brick of bird food on a pole.	The bird sits on the top of a pole mounted with a brick of bird food.	A bird is eating from a brick of bird food on a pole.
000000174004.jpg	A yellow truck is sitting in high grass.	The yellow truck is situated in tall grass.	A yellow truck is next to high grass.
000000095786.jpg	A purple mug is next to a bowl	The bowl is situated beside the purple mug.	A purple mug is across from a bowl.
000000011051.jpg	A young person wearing a formal dress, and another young person in a tie.	Two children, one in a formal dress while the other one wears a tie.	A young person holding a formal dress, and another young person holding a tie.
000000205542.jpg	A stuffed teddy bear sitting on a metal sculpture	The stuffed teddy bear sits on top of the metal sculpture.	A stuffed teddy bear sitting beside a metal sculpture.
000000537506.jpg	The person holds a plate with two red apples near pedestrians holding umbrellas.	Pedestrians hold umbrellas near a person holding a plate with two red apples.	The person holds a plate with two red apples far from pedestrians holding umbrellas.
000000452122.jpg	An airplane in route with a cloudy sky behind it.	The cloudy sky serves as the backdrop as an airplane is en route.	An airplane in route with a cloudy sky above it.
000000338986.jpg	A group of cars next to a train.	A group of cars situated beside a train.	A group of cars behind a train.
000000486438.jpg	Eight doughnuts sitting on a white serving tray.	The white serving tray holds eight doughnuts.	Eight doughnuts next to a white serving tray.
000000458755.jpg	Young person with sheep on straw covered floor.	A young person on a floor covered with straw along with sheep.	A young person with sheep above a straw covered floor.
000000370999.jpg	A quarter is surrounded by some rocks with holes	Some rocks with holes are surrounding a quarter.	A quarter is next to some rocks with holes.
000000301867.jpg	Three people walking down the sidewalk under a sun umbrella.	The sun umbrella is above three individuals strolling along the sidewalk.	Three people sitting on the sidewalk under a sun umbrella.
000000080671.jpg	A person touching their skis going down a ski hill.	A person is skiing downhill while touching their skis.	A person holding their skis going down a ski hill.
000000502732.jpg	A two door, stainless steel refrigerator under a wine cabinet	A wine cabinet is above a stainless steel refrigerator with two doors.	A two door, stainless steel refrigerator next to a wine cabinet.
000000399205.jpg	A group of people on a sidewalk with their mobile phones.	Several individuals with their mobile phones on a sidewalk.	A group of people walking along a sidewalk with their mobile phones.
000000536947.jpg	The garage is littered with garbage on the floor.	The floor of the garage is littered with garbage.	The garage is littered with garbage beside the floor.
000000009483.jpg	A person in a suit standing next to a control board and computer.	The person wearing a suit is standing beside a computer and a control board.	A person in a suit standing far from a control board and computer.
000000283113.jpg	A hot dog in a bun is topped with mustard.	Mustard is placed on top of the hot dog in a bun.	A hot dog beside a bun is topped with mustard.
000000223747.jpg	A person is sleeping with their head on a pillow.	The pillow supports the sleeping person's head.	A person is reading with their head on a pillow.
000000146457.jpg	Two little persons standing next to each other making pizza.	A couple of small individuals are standing together, preparing pizza.	Two little persons standing far apart from each other making pizza.
000000122046.jpg	A person with an umbrella in a chair	The person holds an umbrella while seated in a chair.	A person with an umbrella next to a chair.
000000084477.jpg	This is a chair and umbrella that is sitting near an ocean.	Near the ocean, a chair and an umbrella are set-up.	This is a chair and umbrella that is lying on the beach near an ocean.
000000053994.jpg	A parking meter has a sign promoting the end to homelessness.	A sign advocating the end of homelessness is attached to a parking meter.	A parking meter does not have a sign promoting the end to homelessness.
000000099428.jpg	There are two electronic devices on top of the laptop.	Couple of electronic devices are positioned on top of the laptop.	There are two electronic devices next to the laptop.
000000094336.jpg	A cat is sitting inside of a bathroom sink.	A cat is positioned inside of a bathroom sink.	A cat is sitting next to a bathroom sink.
000000272566.jpg	A person and child sitting on a street with fruits in baskets.	A person and child sitting on a street with baskets containing fruits.	A person and child standing next to a street with fruits in baskets.
000000272566.jpg	A couple of people sitting next to piles of fruit.	A pair of individuals sitting beside stacks of fruit.	A couple of people standing next to piles of fruit.
000000410456.jpg	A group of people standing on a  beach riding surfboards.	A group of people are ride surfboards while standing on the beach.	A group of people next to a beach riding surfboards.
000000488673.jpg	A couple celebrating a birthday in a kitchen.	A couple in the kitchen is celebrating a birthday.	A couple celebrating a birthday outside.
000000284991.jpg	A person puts a red bottle up to their mouth.	A person puts a bottle that is red close to their mouth.	A person drops a red bottle from their hand.
000000360097.jpg	A pile of luggage sitting up against a white fence.	Luggage is stacked against a white fence.	A pile of luggage stacked on top of a white fence.
000000581615.jpg	A picture of a white toilet in the restroom.	A photograph of a restroom with a white toilet.	A picture of a white toilet next to the restroom.
000000122046.jpg	A young model sitting on a folding chair in a sleeveless dress, high heels and holding an umbrella	A young model, wearing a sleeveless dress, high heels, sits in a folding chair holding an umbrella.	A young model standing beside a folding chair in a sleeveless dress, high heels and holding an umbrella.
000000117645.jpg	A person riding a snowboard down a snowy slope.	The snowboard rider glides down the snowy slope.	A person is falling down a snowy slope.
000000512836.jpg	A person with a red umbrella is walking two dogs in the snow.	Two dogs are walking alongside a person who is carrying a red umbrella in the snow.	A person with a red umbrella is walking two dogs out of the snow.
000000143572.jpg	A person holding a tennis racket in their hand while on the tennis court	The tennis court is where a person is holding a tennis racket in hand.	A person holding a tennis racket in their hand outside the tennis court.
000000206027.jpg	A slice of pizza with a swirl of sauce on top.	A swirl of sauce is placed on top of a pizza slice.	A slice of pizza with a swirl of sauce next to it.
000000095843.jpg	A double decker bus sits parked on a curb	A double-decker bus is parked at the curb.	A double decker bus drives down the street away from the curb.
000000411817.jpg	Group of people play video games at bestbuy	A group of individuals are at bestbuy playing video games.	Group of people play video games away from bestbuy.
000000104572.jpg	A bathroom with orange decorated wallpaper and a mirror.	A bathroom with  a mirror is adorned with orange-patterned wallpaper.	A bathroom without orange decorated wallpaper and a mirror.
000000226130.jpg	Two hot dogs in buns sitting on a white plate	Two hot dogs nestled in buns are arranged on a white plate.	Two hot dogs in buns aside from a white plate.
000000384468.jpg	There are people riding on an elephant back.	People are riding on the back of an elephant.	People are watching from afar as an elephant walks by.
000000403385.jpg	A very big white restroom with a shabby looking shower.	A spacious white bathroom with a worn-looking shower.	A very big white restroom without a shabby looking shower.
000000199977.jpg	An airplane is letting off white smoke against a blue sky.	An airplane in the blue sky is emitting white smoke.	An airplane is flying over a blue sky.
000000227187.jpg	A small black and orange bird is perched on a table with banana peels in it.	A small bird with orange and black feathers perches on a table surrounded by banana peels.	A small black and orange bird is flying over a table with banana peels in it.
000000375278.jpg	A black puppy playing with a hand as it stands in a black suitcase	A black puppy stands inside a black suitcase as it plays with a hand.	A black puppy playing with a hand as it sits on a black suitcase.
000000090108.jpg	An empty bathroom with blue walls with the lights on.	An unoccupied bathroom with blue walls and illuminated lights.	An empty bathroom without blue walls with the lights on.
000000263463.jpg	A dog sticks its head out of a car window.	The dog peeks out of the window of a car.	A dog sticks its head inside a car window.
000000018575.jpg	Plates that have a burger, french fries, and condiments on them.	Burgers, french fries, and condiments are arranged on the plates.	Plates that have a burger, french fries, and condiments beside them.
000000395801.jpg	A person waiting on a bench on the sidewalk as people go by.	People walk by while a person is waiting on a sidewalk bench.	A person walking beside a bench on the sidewalk as people go by.
000000034139.jpg	Two people standing next to a life size replica of a suitcase.	Next to the replica of a life sized suitcase, two people are standing.	Two people standing inside a life size replica of a suitcase.
000000176606.jpg	A sheep standing up against the side of a house covered in grass.	A sheep is positioned next to the grass-covered side of a house.	A sheep standing up against the side of a house surrounded by grass.
000000005060.jpg	The person is meditating in front of the mirror.	The mirror is facing the person who is meditating in front of it.	The person is meditating facing away from the mirror.
000000488673.jpg	Two persons are in a kitchen.	A couple of individuals are located in a kitchen.	Two persons are leaving a kitchen.
000000236412.jpg	A homemade cheese pizza and crackers are on the table.	There is a table with cheese pizza made at home along with crackers on it.	A homemade cheese pizza and crackers are next to the table.
000000473118.jpg	A picture of a person doing a skateboarding trick.	A photograph capturing someone performing a skateboarding maneuver.	A picture of a person looking at a skateboarding trick.
000000261116.jpg	An empty plate with a fork is shown in between two children.	There is an empty plate along with a fork placed between two children.	An empty plate with a fork is shown next to two children.
000000516708.jpg	Street signs and traffic lights on a city street	There are street signs and traffic lights along a city street.	Street signs and traffic lights beside a city street.
000000384670.jpg	Two people on a blue and green tennis court.	Two individuals on a green and blue tennis field.	Two people beside a blue and green tennis court.
000000492878.jpg	A sink with toiletry items setting on the edge.	Toiletry items sit on the edge of the sink.	Toiletry items are hanging from the edge of a sink.
000000187243.jpg	A person laying on the ground in a bathroom near a toilet	Near the toilet in the bathroom, a person lies on the ground.	A person sitting on the ground in a bathroom near a toilet.
000000365387.jpg	The cell has a toilet and a sink in it.	The toilet and sink are within the cell.	The cell doesn't have a toilet and a sink in it.
000000162035.jpg	A fold out sign sitting on a rainy sidewalk.	A fold-out sign placed on a rainy sidewalk.	A fold out sign next to a rainy sidewalk.
000000389381.jpg	Two dishes holding a bunch of vegetables and fruit	Two plates containing an assortment of fruits and vegetables.	Two dishes that are empty are on the table.
000000370042.jpg	There are many vases on display outside the building.	Many vases are positioned outside the building for display.	There are many vases on display inside the building.
000000137576.jpg	All of the cows are poking their heads out, eating some hay.	All of the cows are eating hay by poking their heads out.	All of the cows are lying down, eating some hay.
000000011760.jpg	A group of zebras walking away from trees.	The trees are behind the zebras as they walk away.	A group of zebras walking toward trees.
000000399205.jpg	A group of people standing around a sidewalk together.	A group of individuals stand together around a sidewalk.	A group of people sitting on a sidewalk together.
000000035197.jpg	A person is standing on a skateboard at a skatepark.	At a skatepark, a person is standing on a skateboard.	A person is standing off a skateboard at a skatepark.
000000347693.jpg	A room with some big window on the side of it	Some big window is positioned on the side of a room.	A room with some big window in the center of it.
000000158548.jpg	A couple of people that are walking in some grass	A pair of pedestrians strolling through the grass.	A couple of people that are walking beside some grass.
000000475779.jpg	An elephant is walking through the green shrubs.	The green shrubs surround the walking elephant.	An elephant is running through the green shrubs.
000000017436.jpg	A person is on a bench in front of a steple tower.	A person is in front of a steple tower on a bench..	A person is under a bench in front of a steple tower.
000000226130.jpg	Two cooked hot dogs on a plate with parsley.	Parsley along with two cooked hot dogs on a plate.	Two cooked hot dogs on a plate without parsley.
000000537506.jpg	A person serves a sliced apple to one of their friends	A person offers apple slices to one of their friends.	A person eats a sliced apple with one of their friends.
000000261061.jpg	A person wearing an orange shirt on some grass	The person on some grass is in an orange shirt.	A person holding an orange shirt on some grass.
000000248980.jpg	A blue plate with a green salad on top of it.	A green salad is placed on top of a blue plate.	A blue plate with a green salad beside it.
000000578922.jpg	A vase of red flowers sits on a bathroom countertop.	The red flowers are placed in a vase on the countertop of a bathroom.	A vase of red flowers is next to a bathroom countertop.
000000397133.jpg	A person standing by a stove in a kitchen.	A person is in the kitchen standing by the stove.	A person sitting by a stove in a kitchen.
000000089556.jpg	Several cars parked in a lot in a city.	Numerous cars are parked in a city lot.	Several cars are driving through a city.
000000319935.jpg	A large living area with a bed and some couches	some couches along with a bed are in a large living area.	A large living area without a bed and some couches.
000000492362.jpg	A person on a skateboard riding by food vendors.	A skateboard rider passes closeby the food vendors.	A person next to a skateboard is riding by food vendors.
000000564127.jpg	The lid is up on the toilet bowl.	The lid on the the toilet bowl is up.	The lid is down on the toilet bowl.
000000561679.jpg	A residential street has an orange no parking sign near a sidewalk.	An orange no parking sign is located near a sidewalk on a residential street.	A residential street has an orange no parking sign far from a sidewalk.
000000487583.jpg	A cup and a plate with food on it on a table next to a toilet.	A plate with food along with a cup are placed on a table close to a toilet.	A cup and a plate with food on it on a table far from a toilet.
000000231508.jpg	A uniformed baseball player being watched by people.	People observe a baseball player in uniform.	A uniformed baseball player talking with people.
000000026690.jpg	A person flying through the air while riding a skateboard.	A person on a skateboard is gliding through the air.	A person jumping over obstacles while riding a skateboard.
000000425702.jpg	A person walking on the beach carrying a surfboard.	The surfboard-carrying person is walking on the beach.	A person running on the beach carrying a surfboard.
000000501523.jpg	A black cat that is sitting in a sink.	A sink contains a black cat.	A black cat that is sitting beside a sink.
000000008532.jpg	A person wearing a hat and sunglasses with a red neck tie.	The person is wearing a red necktie and a hat while sporting a sunglasses.	A person holding a hat and sunglasses with a red neck tie.
000000018150.jpg	A person with a receding hairline offers a slice of pizza to a toddler.	A person with a thinning hairline offers a pizza slice to a toddler.	A person with a receding hairline takes a slice of pizza from a toddler.
000000205542.jpg	A brown teddy bear sitting on an odd looking chair	An unusual chair has the brown teddy bear sitting on it.	A brown teddy bear lying under an odd looking chair.
000000045728.jpg	A cake with cream topping on the plate.	A cake on the plate is adorned with cream topping.	A cake with cream topping beside the plate.
000000138819.jpg	The view of a bathroom with a wall mounted sink.	The view of a sink mounted on the wall in the bathroom.	The view of a bathroom without a wall mounted sink.
000000021503.jpg	There is a plate filled with pastries next to a keyboard.	Beside the keyboard is a plate filled with pastries.	There is a plate filled with pastries far from a keyboard.
000000534827.jpg	Five people riding some motorbikes on the road	Five motorbikes are riding on the road.	Five people are stopping their motorbikes on the road.
000000342006.jpg	Water traffic along the Thames by Big Ben	Water traffic on the Thames close to Big Ben.	Water traffic along the Thames above Big Ben.
000000516708.jpg	A street sign that reads Sparta sitting next to a tall building.	A tall building beside a street sign that reads Sparta.	A street sign that reads Sparta is far from a tall building.
000000448076.jpg	People standing around a waiting room with a flat screen TV.	The flat screen TV is situated in the waiting room where people are standing.	People sitting in a waiting room with a flat screen TV.
000000036494.jpg	People sitting at tables inside a large clock tower.	A large clock tower contains people sitting at tables.	People sitting at tables outside a large clock tower.
000000375278.jpg	A hand pets a cat in a suitcase.	The cat in the suitcase is being petted by a hand.	A hand pets a cat on top of a suitcase.
000000159458.jpg	A dog rests on a bed in a bedroom where one person is also sitting.	 one person is sitting  on a bed in a bedroom where a dog is also resting.	A dog rests on a bed in a bedroom where one person is also sleeping.
000000172946.jpg	A group of people standing with remotes in hand.	A group of individuals with remotes in their hands are standing.	A group of people sitting with remotes in hand.
000000323709.jpg	A large jet airplane parked next to a domed tower.	A big jet aircraft is parked beside a domed tower.	A large jet airplane is flying near a domed tower.
000000287545.jpg	A large and small giraffe are looking at something while standing next to a log.	While standing next to the log, the big and small giraffes are observing something.	A large and small giraffe are looking at something while lying on a log.
000000217957.jpg	An ornate clock on the side of a building next to a tree.	Next to a tree is a building with an ornate clock on the side.	An ornate clock inside a building next to a tree.
000000314709.jpg	A person riding skis down a snow covered slope.	A person is skiing down a slope covered with snow.	A person walking on a snow covered slope.
000000278353.jpg	A sheep standing on the grass in front of a fence	A sheep stands in front of a fence on the grass.	A sheep lying on the grass in front of a fence.
000000526751.jpg	A boat is sitting in the sand near the water.	A boat is parked on the sand close to the water.	A boat is floating in the water near the sand.
000000134882.jpg	A cat sleeps on a bed with a plaid bedspread in front of a bookshelf.	The bed with the plaid bedspread is in front of a bookshelf, and a cat is sleeping on bed.	A cat sleeps underneath a bed with a plaid bedspread in front of a bookshelf.
000000356347.jpg	A wooden spoon sticking out of a pot of food.	A wooden spoon protrudes from a pot of food.	A wooden spoon resting on top of a pot of food.
000000214200.jpg	A stop sign with a eating animals sticker on it.	An eating animals sticker adorns the stop sign.	A stop sign without an eating animals sticker on it.
000000107226.jpg	The person is riding a bike led by several dogs.	Numerous dogs are leading a bike that a person is riding.	The person is walking a group of dogs.
000000134096.jpg	A cat drinking out of the faucet of a sink.	The faucet is attached to the sink, and a cat is drinking from it.	A cat sleeping on the counter next to the sink.
000000058350.jpg	A young person is holding a slice of pizza with their mouth.	A young person holds a pizza slice with their mouth.	A young person is dropping a slice of pizza from their mouth.
000000340175.jpg	A living room with a big table next to a bookshelf	The living room has a bookshelf positioned beside a large table.	A living room with a big table away from a book shelf.
000000550426.jpg	Bunch of flowers sitting in vase filled with water and rocks on bottom	A vase filled with water and rocks at the bottom holds a bunch of flowers.	Bunch of flowers sitting in vase empty of water and rocks on bottom.
000000515579.jpg	A person throwing a ball while smiling and on a field.	Smiling person throws ball while standing in a field.	A person throwing a ball while smiling and off a field.
000000368294.jpg	A person sitting at a desk cutting up a cigar.	A person cutting up a cigar while sitting at a desk.	A person sitting at a desk smoking a cigar.
000000036936.jpg	A couple sits on a couch while playing wii.	A couple engaged in game of Wii while sitting on the couch.	A couple stands by a couch while playing wii.
000000263796.jpg	A red toilet with many pipes and wires behind it.	Many pipes and wires are behind the red toilet.	A red toilet with many pipes and wires in front of it.
000000274687.jpg	A black bike rests against a brown bed	A brown bed has a black bike leaning against it.	A black bike hangs from a brown bed.
000000122046.jpg	A person is sitting in a chair with an umbrella.	An umbrella is attached to a chair where a person is sitting.	A person is standing next to a chair with an umbrella.
000000560279.jpg	A toilet in a tiled stall with rainbow streaks around the room.	In a tiled stall, a toilet is surrounded by rainbow streaks around the room.	A toilet in a tiled stall without rainbow streaks around the room.
000000122927.jpg	Two birds walking down the road in the daytime.	A couple of birds strolling along the road during the daytime.	Two birds flying over the road in the daytime.
000000013923.jpg	A room full of colorful furniture and a tv	The room with a tv is filled with vibrant furniture.	A room empty of colorful furniture and a TV.
000000560266.jpg	Two bears on the water fighting each other.	Couple of bears are fighting with each other in the water.	Two bears near the water fighting each other.
000000380913.jpg	Six people on a bus, with five of them on their electronics.	Six people are on the bus, with five of them engrossed with their electronic devices.	Six people beside a bus, with five of them on their electronics.
000000093353.jpg	Someone holding a hot dog cut in half on some bread.	A person holds a hot dog split in two on a piece of bread.	Someone throwing a hot dog cut in half on some bread.
000000501523.jpg	A BLACK CAT SITTING INSIDE OF A SINK IN THE BATHROOM	A black cat sitting inside a bathroom sink.	A black cat sitting on top of a sink in the bathroom.
000000221017.jpg	A brown chicken standing on top of a lush green field.	A chicken that is brown stands on a lush green field.	A brown chicken is pecking on a lush green field.
000000544519.jpg	A child holds a toothbrush halfway out of their mouth while brushing their teeth.	A child brushes their teeth by holding a toothbrush halfway out of their mouth.	A child drops a toothbrush halfway out of their mouth while brushing their teeth.
000000054593.jpg	A young person holding a bat on top of a baseball field.	A young person on a baseball field is holding a bat.	A young person holding a bat running on a baseball field.
000000122927.jpg	Two small birds walking on a sidewalk next to patches of grass.	Couple of small birds walking beside patches of grass on a sidewalk.	Two small birds flying above a sidewalk next to patches of grass.
000000474167.jpg	Two plates of pizza and a drink on a wooden table	A drink along with two plates of pizza rest on a wooden table.	Two plates of pizza and a drink beside a wooden table.
000000570539.jpg	A person looking out the window of a bus	A person peering out of a bus window.	A person sleeping in the window of a bus.
000000089648.jpg	People are sitting in chairs on phones and computers.	While sitting in chairs, people are using phones and computers.	People are sitting in chairs next to phones and computers.
000000036494.jpg	A bunch of people gathered inside of a building	A gathering of people inside a building.	A bunch of people scattered outside of a building.
000000033707.jpg	Two giraffes are standing next to a building.	The building is next to a couple of standing giraffes.	Two giraffes are standing far from a building.
000000294831.jpg	A plate with two slices of pizza on it.	A couple of pizza slices are on the plate.	A plate with two slices of pizza next to it.
000000223959.jpg	A squinting tennis player stares at a tennis racket.	A tennis player squints while gazing at a tennis racket.	A squinting tennis player puts down a tennis racket.
000000323709.jpg	An airplane is parked next to a domed tower.	A domed tower is situated beside the parked airplane.	An airplane is flying past a domed tower.
000000514508.jpg	A person in a jacket standing near a giant tv	A person is standing close to a massive television wearing a jacket.	A person behind a jacket is standing near a giant TV.
000000501523.jpg	A black cat is sitting in a bathroom sink.	A bathroom sink contains a sitting black cat.	A black cat is sitting on top of a bathroom sink.
000000363666.jpg	Three persons sitting at a table eating breakfast.	A group of three individuals are eating breakfast while seated at a table.	Three persons standing around a table eating breakfast.
